Epoch,Baseline,In order,Reverse order,Hybrid
0,10.00,10.00,10.00,10.00
5,15.07,14.80,23.21,14.88
10,37.89,35.27,39.01,38.96
15,62.05,64.00,55.69,64.94
20,76.64,75.49,67.59,75.90
25,79.64,81.11,73.68,74.84
30,82.00,81.38,74.42,76.26
35,83.02,83.56,78.87,82.18
40,85.18,83.03,76.81,82.24
45,86.04,86.04,80.43,82.40
50,85.01,85.81,80.56,82.17
55,85.27,84.82,78.74,84.27
60,86.23,86.16,79.79,84.14
65,85.63,87.52,78.20,85.85
70,87.81,84.42,80.12,83.39
75,86.80,86.71,83.33,82.86
80,87.60,86.47,82.86,85.44
85,86.82,87.08,85.06,83.35
90,87.63,86.92,84.64,83.66
95,88.93,87.64,84.24,82.72
100,88.97,88.12,84.70,82.99
105,88.14,87.33,87.17,83.45
110,88.42,85.73,87.32,84.84
115,89.34,87.01,84.91,82.67
120,89.61,88.16,86.64,83.29
125,88.86,89.11,85.35,85.02
130,88.79,88.18,86.47,81.83
135,88.98,88.45,87.38,83.82
140,88.94,87.46,87.96,85.93
145,89.22,87.42,87.47,85.69
150,90.09,87.86,88.15,86.35
155,90.09,87.46,89.23,87.23
160,90.85,87.32,88.47,88.64
165,90.97,87.69,89.42,87.93
170,91.27,87.95,89.70,87.69
175,91.63,87.99,90.19,88.06
180,91.59,88.47,90.59,88.92
185,91.74,88.62,91.02,89.73
190,91.72,89.22,91.23,89.98
195,91.69,89.45,91.49,90.17
