Epochs,Baseline,25% Random,50% Random,75% Random,90% Random,,,THIS IS F1 SCORE
0,73.30,73.78,70.86,70.57,70.99,,,
,79.71,79.79,78.58,77.97,77.31,,,
,81.19,81.64,81.05,80.65,79.96,,,
,83.09,83.52,82.95,82.75,81.67,,,
,83.72,83.71,83.34,82.75,82.33,,,
,84.18,85.17,84.51,84.23,83.65,,,
,84.98,84.81,84.58,83.70,83.81,,,
,85.71,85.44,85.77,85.43,84.90,,,
,85.78,86.04,85.92,85.64,85.10,,,
,86.81,85.88,86.02,85.75,85.34,,,
,86.56,86.89,86.75,86.32,85.75,,,
,87.02,86.66,86.56,86.20,85.89,,,
,86.98,86.83,86.86,86.40,85.81,,,
,87.00,87.27,86.96,86.80,86.26,,,
1,86.91,87.44,87.06,86.68,86.43,,,
,87.35,87.14,87.20,86.77,86.40,,,
,87.16,87.61,87.43,87.21,87.02,,,
,87.58,87.50,87.30,87.11,86.70,,,
,87.44,87.63,87.69,87.18,86.89,,,
,87.53,87.64,87.40,87.27,86.89,,,
,87.76,87.71,87.63,87.50,87.26,,,
,87.71,87.69,87.59,87.45,87.22,,,
,87.79,88.09,87.75,87.73,87.69,,,
,87.84,88.27,87.71,87.75,87.46,,,
,88.04,88.26,87.79,87.77,87.47,,,
,88.21,88.34,88.10,87.90,87.75,,,
,88.13,88.59,88.14,88.11,87.73,,,
,88.15,88.55,88.25,88.38,87.73,,,
2,88.01,88.41,88.17,88.10,87.70,,,
,87.97,88.43,88.09,87.90,87.50,,,
,88.03,88.19,88.13,87.71,87.58,,,
,88.05,88.26,88.11,87.76,87.64,,,
,87.97,88.18,88.21,88.07,87.71,,,
,88.17,88.35,88.12,88.15,87.68,,,
,87.98,88.25,88.07,88.07,87.76,,,
,88.32,88.41,88.23,88.02,87.82,,,
,88.35,88.21,88.21,88.00,87.80,,,
,88.37,88.42,88.29,88.16,87.89,,,
,88.25,88.64,88.15,88.25,87.89,,,
,88.38,88.42,88.32,88.20,87.94,,,
3,88.51,88.57,88.32,88.23,88.06,,,
