Epoch,Baseline,25% Random,50% Random,75% Random,90% Random
0,0.3118,0.3277,0.3103,0.2979,0.2709
5,0.4955,0.4998,0.4707,0.4926,0.4488
10,0.6235,0.5810,0.5877,0.5878,0.5674
15,0.6692,0.6395,0.6763,0.6741,0.6444
20,0.7059,0.6893,0.6918,0.6960,0.6572
25,0.7540,0.7053,0.6794,0.6772,0.6581
30,0.6926,0.7515,0.6768,0.6922,0.6905
35,0.7519,0.7329,0.6886,0.7123,0.7143
40,0.7658,0.7357,0.7143,0.6628,0.6865
45,0.7670,0.7604,0.7113,0.7359,0.6460
50,0.7539,0.7725,0.7639,0.6864,0.6207
55,0.7565,0.7818,0.7399,0.7114,0.6649
60,0.7744,0.7132,0.7554,0.7324,0.7198
65,0.7765,0.7772,0.7589,0.7663,0.7312
70,0.7384,0.7689,0.7918,0.6903,0.7300
75,0.7353,0.7684,0.7800,0.7306,0.7336
80,0.7780,0.7737,0.7404,0.7422,0.7580
85,0.7711,0.7674,0.7743,0.7508,0.7295
90,0.7895,0.7937,0.7673,0.7710,0.7682
95,0.7746,0.7486,0.7882,0.7538,0.7329
100,0.7489,0.7983,0.7604,0.7779,0.7574
105,0.8125,0.7830,0.7733,0.7523,0.7500
110,0.7827,0.7982,0.7662,0.7832,0.7746
115,0.8002,0.7679,0.8016,0.7722,0.6935
120,0.8275,0.8092,0.7800,0.7755,0.7522
125,0.8141,0.8223,0.8104,0.7878,0.7647
130,0.8375,0.8351,0.8028,0.7971,0.7738
135,0.8315,0.8429,0.8221,0.8084,0.7835
140,0.8409,0.8499,0.8436,0.8017,0.7957
145,0.8485,0.8494,0.8352,0.8154,0.7449
150,0.8413,0.8444,0.8532,0.8191,0.7770
155,0.8450,0.8496,0.8358,0.8325,0.7960
160,0.8635,0.8623,0.8386,0.8212,0.8057
165,0.8673,0.8693,0.8542,0.8351,0.8141
170,0.8811,0.8802,0.8663,0.8328,0.8326
175,0.8897,0.8768,0.8678,0.8513,0.8247
180,0.8921,0.8856,0.8724,0.8547,0.8432
185,0.8978,0.8937,0.8823,0.8591,0.8484
190,0.8985,0.8960,0.8818,0.8661,0.8507
195,0.8995,0.8948,0.8828,0.8660,0.8518
200,0.8994,0.8950,0.8832,0.8666,0.8523
