Epoch,Baseline,25% Random,50% Random,75% Random,90% Random
0,0.1000,0.1000,0.1000,0.1000,0.1000
5,0.1507,0.2473,0.2632,0.2505,0.2230
10,0.3789,0.4825,0.4860,0.4259,0.4147
15,0.6205,0.6765,0.6621,0.5893,0.4968
20,0.7664,0.7615,0.7620,0.6771,0.6109
25,0.7964,0.7781,0.7920,0.7432,0.6165
30,0.8200,0.7743,0.8111,0.7784,0.6771
35,0.8302,0.8282,0.8224,0.7800,0.6448
40,0.8518,0.8438,0.8423,0.7835,0.7424
45,0.8604,0.8469,0.8357,0.8007,0.6970
50,0.8501,0.8572,0.8434,0.7953,0.7441
55,0.8527,0.8540,0.8539,0.8188,0.7489
60,0.8623,0.8579,0.8515,0.8032,0.7454
65,0.8563,0.8642,0.8567,0.8083,0.7525
70,0.8781,0.8599,0.8524,0.8169,0.7552
75,0.8680,0.8709,0.8631,0.8244,0.7670
80,0.8760,0.8687,0.8638,0.7917,0.7706
85,0.8682,0.8748,0.8680,0.8055,0.7550
90,0.8763,0.8738,0.8638,0.8315,0.7552
95,0.8893,0.8759,0.8733,0.8132,0.7649
100,0.8897,0.8762,0.8533,0.8351,0.7712
105,0.8814,0.8876,0.8585,0.8400,0.7669
110,0.8842,0.8920,0.8639,0.8260,0.7692
115,0.8934,0.8791,0.8501,0.8249,0.7739
120,0.8961,0.8916,0.8753,0.8234,0.7702
125,0.8886,0.8898,0.8826,0.8137,0.7570
130,0.8879,0.8996,0.8745,0.8378,0.7838
135,0.8898,0.8946,0.8738,0.8447,0.7758
140,0.8894,0.8939,0.8824,0.8433,0.8011
145,0.8922,0.8759,0.8852,0.8543,0.7992
150,0.9009,0.8909,0.8722,0.8315,0.7932
155,0.9009,0.8974,0.8826,0.8414,0.7965
160,0.9085,0.9062,0.8886,0.8479,0.8094
165,0.9097,0.9102,0.8898,0.8651,0.8155
170,0.9127,0.9125,0.8944,0.8560,0.8177
175,0.9163,0.9133,0.9041,0.8534,0.8054
180,0.9159,0.9157,0.9032,0.8590,0.8083
185,0.9174,0.9162,0.9040,0.8647,0.8134
190,0.9172,0.9159,0.9080,0.8703,0.8282
195,0.9169,0.9161,0.9089,0.8749,0.8318
200,0.9169,0.9162,0.9092,0.8770,0.8316
