Epochs,Baseline,25% Random,50% Random,75% Random,90% Random,,,This is mAP Score
0,0,0,0,0,0,,,
10,0.0158,0.014,0.0168,0.0086,0.0047,,,
20,0.0552,0.0532,0.0503,0.0422,0.0204,,,
30,0.0926,0.0861,0.0822,0.0688,0.0481,,,
40,0.1232,0.1172,0.1023,0.0875,0.0742,,,
50,0.161,0.1479,0.1308,0.1099,0.094,,,
60,0.1947,0.1826,0.1584,0.1351,0.1145,,,
70,0.2343,0.2304,0.1916,0.1614,0.1368,,,
80,0.2784,0.2771,0.2306,0.1932,0.1652,,,
90,0.321,0.31,0.2671,0.2221,0.1872,,,
100,0.361,0.3474,0.3074,0.2541,0.2165,,,
110,0.4007,0.3801,0.3409,0.2794,0.2397,,,
120,0.4347,0.4138,0.3764,0.3143,0.2748,,,
130,0.4633,0.4454,0.4042,0.3442,0.3061,,,
140,0.4881,0.4721,0.4304,0.3727,0.33,,,
150,0.5148,0.4944,0.4548,0.3959,0.3539,,,
160,0.5399,0.52,0.4797,0.4246,0.3774,,,
170,0.5581,0.5392,0.501,0.4471,0.3996,,,
180,0.5757,0.5574,0.5174,0.4632,0.4186,,,
190,0.5905,0.5716,0.5331,0.4791,0.4351,,,
200,0.603,0.5842,0.5491,0.494,0.4529,,,
210,0.6135,0.5958,0.5618,0.5084,0.4678,,,
220,0.622,0.6066,0.5724,0.5217,0.4826,,,
230,0.63,0.615,0.5827,0.5332,0.4963,,,
240,0.6353,0.6208,0.5916,0.5437,0.5068,,,
250,0.6412,0.6263,0.5992,0.5523,0.5167,,,
260,0.6458,0.632,0.6058,0.5604,0.5249,,,
270,0.6504,0.6369,0.6122,0.5672,0.5335,,,
280,0.6542,0.6409,0.6176,0.5732,0.5407,,,
290,0.6582,0.6451,0.6222,0.5786,0.5473,,,
300,0.662,0.649,0.6268,0.5836,0.5524,,,
310,0.6649,0.6519,0.6301,0.588,0.5571,,,
320,0.6672,0.6554,0.6338,0.5925,0.5616,,,
330,0.6693,0.6578,0.6373,0.5967,0.5664,,,
340,0.6717,0.6611,0.6409,0.6008,0.5708,,,
350,0.6744,0.6639,0.6439,0.6053,0.5751,,,
360,0.6763,0.6675,0.6472,0.6087,0.5794,,,
370,0.6795,0.6705,0.6506,0.613,0.5835,,,
380,0.6815,0.673,0.6532,0.6167,0.5883,,,
390,0.6827,0.6757,0.6565,0.6207,0.5925,,,
400,0.6852,0.6778,0.6591,0.6252,0.5962,,,
410,0.6875,0.6801,0.6621,0.6292,0.6003,,,
420,0.6902,0.6826,0.6651,0.6325,0.6042,,,
430,0.6928,0.6838,0.6681,0.6362,0.6081,,,
440,0.6952,0.6855,0.6711,0.6393,0.6122,,,
450,0.6976,0.6861,0.6736,0.6425,0.6157,,,
460,0.7006,0.6888,0.6764,0.6455,0.6192,,,
470,0.7031,0.6911,0.6792,0.6488,0.6231,,,
480,0.7056,0.6926,0.6817,0.6519,0.6272,,,
490,0.7077,0.6928,0.6845,0.6552,0.6307,,,
500,0.7101,0.6949,0.6867,0.6587,0.6339,,,
510,0.712,0.6971,0.6893,0.6617,0.6375,,,
520,0.7142,0.6973,0.6918,0.6643,0.6406,,,
530,0.7159,0.6985,0.6938,0.6667,0.6442,,,
540,0.7185,0.6996,0.696,0.6692,0.6476,,,
550,0.7204,0.7018,0.698,0.6719,0.6506,,,
560,0.7224,0.701,0.7,0.6743,0.6533,,,
570,0.7237,0.7046,0.702,0.6767,0.6559,,,
580,0.7249,0.7098,0.7039,0.6787,0.6588,,,
590,0.7265,0.7108,0.7053,0.681,0.6612,,,
600,0.7271,0.7121,0.707,0.6824,0.6635,,,
