Epoch,Baseline,Skip 2RS,Skip 2RS2AG,Skip 4RS,Progressive
0,77.42,78.38,74.00,76.64,78.42938968
,82.46,82.59,80.58,81.91,82.09913836
,84.18,84.41,83.28,83.59,83.94356052
,85.61,85.50,84.35,84.75,84.98098326
,85.84,85.95,84.71,85.07,84.9974641
,87.01,86.87,85.41,86.23,86.07096067
1,87.37,86.86,85.72,86.80,86.60338086
,87.13,86.90,86.04,86.76,86.49386352
,87.35,87.08,86.21,86.98,86.73668211
,87.66,87.44,86.62,87.19,87.13951472
,87.98,87.91,87.06,87.46,87.05620941
,87.82,87.72,87.10,87.73,87.22624356
2,88.15,87.90,87.32,87.60,87.65006834
,88.41,88.19,87.38,87.57,87.95865219
,88.11,88.05,87.41,88.06,87.86114461
,88.22,88.17,87.48,87.91,87.78395259
,87.96,88.05,87.56,87.78,87.76078785
,87.99,88.10,87.55,88.03,87.87765607
,88.28,88.02,87.59,88.06,88.10717315
3,88.30,88.23,87.63,88.11,88.05040023
