Epoch,Baseline,Skip 2RS,Skip 2RS2AG,Skip 4RS,Progressive
0,0.2957,0.2808,0.1957,0.2787,0.2680
5,0.4907,0.4419,0.4585,0.4682,0.4282
10,0.6167,0.5663,0.4930,0.5362,0.5278
15,0.7068,0.6457,0.5785,0.6511,0.5860
20,0.7198,0.6848,0.6357,0.6372,0.6208
25,0.7370,0.7261,0.6658,0.6497,0.6836
30,0.7503,0.7253,0.7004,0.6898,0.6643
35,0.7302,0.6925,0.6698,0.6911,0.6274
40,0.7728,0.7127,0.7085,0.6644,0.6833
45,0.7413,0.7514,0.7068,0.6577,0.6885
50,0.7637,0.7544,0.6537,0.6412,0.7126
55,0.7934,0.7701,0.7091,0.6776,0.7157
60,0.7635,0.7571,0.7430,0.6884,0.6794
65,0.8001,0.7711,0.7187,0.7214,0.7081
70,0.7708,0.7561,0.7110,0.7368,0.6850
75,0.7852,0.7662,0.7278,0.7174,0.7311
80,0.7904,0.7567,0.6982,0.7045,0.7316
85,0.7945,0.7517,0.7560,0.7470,0.7446
90,0.7816,0.7807,0.7637,0.6794,0.7073
95,0.8028,0.7608,0.7674,0.7394,0.8050
100,0.8028,0.7983,0.7426,0.7052,0.7780
105,0.8315,0.7841,0.7726,0.7590,0.7979
110,0.8102,0.7875,0.7737,0.7476,0.7988
115,0.8296,0.7713,0.7810,0.7587,0.7690
120,0.8280,0.8058,0.7715,0.7669,0.7581
125,0.8321,0.8281,0.7671,0.7690,0.8014
130,0.8322,0.8155,0.7738,0.7685,0.7955
135,0.8592,0.8029,0.7798,0.7702,0.8135
140,0.8482,0.8260,0.7869,0.7878,0.8178
145,0.8435,0.8187,0.7842,0.7824,0.7857
150,0.8331,0.8254,0.8026,0.7590,0.8256
155,0.8556,0.8429,0.7925,0.8063,0.8376
160,0.8612,0.8380,0.7980,0.7972,0.8554
165,0.8706,0.8477,0.8061,0.7952,0.8519
170,0.8765,0.8595,0.8157,0.8152,0.8531
175,0.8815,0.8612,0.8226,0.8304,0.8633
180,0.8868,0.8630,0.8296,0.8279,0.8685
185,0.8927,0.8722,0.8348,0.8363,0.8706
190,0.8940,0.8877,0.8363,0.8389,0.8848
195,0.8946,0.8885,0.8362,0.8422,0.8849
200,0.8945,0.8878,0.8348,0.8435,0.8891
