Epoch,Baseline,Skip 1RS,Skip 1RS1AG,Skip 2RS,Progressive
0,0.1000,0.1096,0.1000,0.1000,0.1000
5,0.1507,0.1671,0.2481,0.2398,0.2321
10,0.3789,0.4159,0.4166,0.3784,0.3901
15,0.6205,0.6433,0.6288,0.5951,0.5569
20,0.7664,0.7278,0.6756,0.6543,0.6759
25,0.7964,0.7654,0.7575,0.7315,0.7368
30,0.8200,0.8174,0.7728,0.7393,0.7442
35,0.8302,0.8321,0.7950,0.7565,0.7887
40,0.8518,0.8226,0.8160,0.7607,0.7681
45,0.8604,0.8389,0.8276,0.7320,0.8043
50,0.8501,0.8055,0.8174,0.8120,0.8056
55,0.8527,0.8286,0.8401,0.7847,0.7874
60,0.8623,0.8327,0.8358,0.7922,0.7979
65,0.8563,0.8454,0.8202,0.8191,0.7820
70,0.8781,0.8525,0.8280,0.8028,0.8012
75,0.8680,0.8454,0.8471,0.8358,0.8333
80,0.8760,0.8623,0.8240,0.8360,0.8286
85,0.8682,0.8618,0.8470,0.8210,0.8506
90,0.8763,0.8454,0.8468,0.8349,0.8464
95,0.8893,0.8554,0.8485,0.8291,0.8424
100,0.8897,0.8631,0.8377,0.8140,0.8470
105,0.8814,0.8644,0.8467,0.8174,0.8717
110,0.8842,0.8654,0.8553,0.8264,0.8732
115,0.8934,0.8633,0.8608,0.8268,0.8491
120,0.8961,0.8450,0.8523,0.8420,0.8664
125,0.8886,0.8737,0.8544,0.8542,0.8535
130,0.8879,0.8678,0.8477,0.8435,0.8647
135,0.8898,0.8758,0.8538,0.8484,0.8738
140,0.8894,0.8871,0.8499,0.8314,0.8796
145,0.8922,0.8823,0.8699,0.8528,0.8747
150,0.9009,0.8881,0.8720,0.8454,0.8754
155,0.9009,0.8889,0.8726,0.8412,0.8815
160,0.9085,0.8920,0.8790,0.8542,0.8923
165,0.9097,0.8976,0.8764,0.8531,0.8847
170,0.9127,0.8960,0.8798,0.8547,0.8942
175,0.9163,0.8989,0.8834,0.8626,0.8970
180,0.9159,0.9043,0.8868,0.8630,0.9019
185,0.9174,0.9074,0.8879,0.8725,0.9059
190,0.9172,0.9094,0.8885,0.8783,0.9102
195,0.9169,0.9179,0.8882,0.8824,0.9113
200,0.9169,0.9186,0.8883,0.8825,0.9119
